High,Low,Open,Close,Volume,Adj Close
424.5270080566406,422.72900390625,424.28399658203125,423.4129943847656,59091000.0,423.4129943847656
423.6570129394531,420.51800537109375,423.6199951171875,422.7449951171875,57858600.0,422.7449951171875
425.3609924316406,419.635009765625,422.9070129394531,420.3489990234375,63454700.0,420.3489990234375
420.8909912109375,416.5150146484375,420.8110046386719,419.4110107421875,49792700.0,419.4110107421875
422.43499755859375,419.2569885253906,419.5920104980469,421.5639953613281,73478600.0,421.5639953613281
422.739013671875,420.5329895019531,421.87200927734375,422.4830017089844,50747500.0,422.4830017089844
427.2770080566406,422.8429870605469,422.8429870605469,425.19000244140625,70728800.0,425.19000244140625
426.6579895019531,422.9159851074219,425.6319885253906,423.7340087890625,69060400.0,423.7340087890625
425.3710021972656,423.01300048828125,423.93499755859375,424.2820129394531,45281000.0,424.2820129394531
429.9280090332031,424.427001953125,424.427001953125,429.7130126953125,54801500.0,429.7130126953125
432.625,428.9840087890625,429.57501220703125,430.5719909667969,39392800.0,430.5719909667969
431.3710021972656,426.0790100097656,430.635986328125,427.39898681640625,52125900.0,427.39898681640625
429.27398681640625,427.08599853515625,427.6109924316406,428.59100341796875,55670900.0,428.59100341796875
436.0199890136719,428.10400390625,428.7030029296875,435.5090026855469,52810500.0,435.5090026855469
443.0539855957031,434.406005859375,435.3240051269531,441.3890075683594,72890096.0,441.3890075683594
450.5480041503906,440.9519958496094,441.4159851074219,449.42498779296875,68204704.0,449.42498779296875
449.80999755859375,444.1499938964844,449.68798828125,445.73699951171875,58804400.0,445.73699951171875
450.2820129394531,444.33099365234375,445.8609924316406,450.2820129394531,50485400.0,450.2820129394531
460.14599609375,448.9280090332031,450.55999755859375,458.55499267578125,68198400.0,458.55499267578125
466.6199951171875,453.5920104980469,459.1210021972656,461.4259948730469,87091800.0,461.4259948730469
467.9649963378906,461.6210021972656,461.64801025390625,466.0889892578125,78971904.0,466.0889892578125
467.0790100097656,444.1340026855469,466.2619934082031,444.68701171875,93564896.0,444.68701171875
449.5509948730469,436.6499938964844,445.0379943847656,449.010986328125,74064704.0,449.010986328125
455.3840026855469,446.0169982910156,449.4079895019531,455.09698486328125,49258500.0,455.09698486328125
455.5870056152344,447.6969909667969,455.1780090332031,448.3179931640625,69322600.0,448.3179931640625
